ID1,ID_1,ID_2,va1,va2
A2b6115fd,2b6115fd,A,0.45767142786710585,81.35507907095383
Ac51c9cf1,c51c9cf1,A,0.23619578114902734,-1.145051782261061
A7534d3a0,7534d3a0,A,0.2542420267817495,1.1576851372206083
A73fc5642,73fc5642,A,0.04112479603556963,-1.2113614030107724
Ae020e4bd,e020e4bd,A,0.2658252544537978,-2.313626825456912
Ac0d3b0fe,c0d3b0fe,A,0.009919932834597668,-0.8824416819419479
A2edfed41,2edfed41,A,0.2930030648829918,-0.37510721964604643
Ad38a4bbe,d38a4bbe,A,0.2605639104360532,-1.0912325513485477
A5ee0f97f,5ee0f97f,A,0.1858387442660726,-6.139757146547913
Ad791c03d,d791c03d,A,0.03675597737402589,-0.258155581211411
A716ec591,716ec591,A,0.11465197168838889,-2.884776735881194
Af88d3ab5,f88d3ab5,A,0.4157302018989154,0.4914336304227194
A429b65a6,429b65a6,A,0.023783090512396743,0.8862083468800304
A3638155a,3638155a,A,0.43608459589520693,1.5187036111685295
A9ce4930a,9ce4930a,A,0.3289369291698729,-0.0025876006446502123
Af0968cbc,f0968cbc,A,0.3907058448537482,0.33588037330983045
Ae413c9a9,e413c9a9,A,0.21018799815510608,8.126189765333931
A5dc40807,5dc40807,A,0.1387798013530876,0.01577182704325076
Adec8db56,dec8db56,A,0.20318085189614923,-2.015278772918233
A25df779b,25df779b,A,0.6514367003194648,11.759808770753141
A99248c71,99248c71,A,0.24977416681643444,-0.36423432377974135
Add5aa1c7,dd5aa1c7,A,0.21897908152790968,-2.983309425549705
Ad0f3116e,d0f3116e,A,0.1671080798596472,-0.2909188167587642
Ad54fca43,d54fca43,A,0.762966154402199,-0.5875882140682335
A6e968b78,6e968b78,A,0.4882577722949905,1.700330438884871
Aff6e10b8,ff6e10b8,A,0.27395080464710675,-2.1146589623453207
A87a5811d,87a5811d,A,0.30042256691675323,-2.271924615128027
A891c4eb2,891c4eb2,A,0.703953186875355,-5.918411653443192
Aaeac5e8c,aeac5e8c,A,0.44223098702310004,-21.757646813897118
A5de49801,5de49801,A,0.4222636425636994,1.2815782720669262
A8e19476a,8e19476a,A,0.14985299983930234,-0.7407968640786261
A2a32393d,2a32393d,A,0.29353596915212404,0.2811519868487582
A3b2450b1,3b2450b1,A,0.6205182471681796,-9.721698429329694
A8882c792,8882c792,A,0.3115320944450241,0.41254344216446615
A50a09695,50a09695,A,0.004322622751028041,0.525396904291054
Aaa54830c,aa54830c,A,0.24631001187583032,-2.387774531001848
Af8cb44f9,f8cb44f9,A,0.08514798538519144,-0.4923711767488437
A21b702c9,21b702c9,A,0.736457683374278,-2.7171823194509894
A9071dd07,9071dd07,A,0.3420960552982208,0.9118722127579195
Af9200e0d,f9200e0d,A,0.09001940768700659,5.033807252630942
A3be8e904,3be8e904,A,0.26099836127860765,2.1176791250916343
Aa3cb7424,a3cb7424,A,0.11664151768246589,-3.6809365828201592
A2d35e45c,2d35e45c,A,0.5417169852417458,1.0554538436791172
Ad0c4853c,d0c4853c,A,0.27482559553680724,15.38906494340327
A71989001,71989001,A,0.13507545570387147,-96.29424531714808
A28790818,28790818,A,0.7131803056366973,-6.057315269744487
Afcec12c0,fcec12c0,A,0.7200050092213455,-19.57479569022243
A055f348b,055f348b,A,0.3349109886339066,-0.39477628201627807
Af0e93509,f0e93509,A,0.055132002677701214,-1.2202227052830583
A260a1c9f,260a1c9f,A,0.09528871085233863,0.4899321211392909
Af888da1c,f888da1c,A,0.8311177161458297,2.3792503375557166
Afd7b14fe,fd7b14fe,A,0.15361695289587524,2.509518201707169
Aeb2d0efe,eb2d0efe,A,0.38332789218072083,-0.093333152016306
A983642cd,983642cd,A,0.2493860240157987,0.42871012774540956
Ad39c2592,d39c2592,A,0.08561299435831561,0.2986793797303682
A236afd5d,236afd5d,A,0.12369910803403086,-1.1149176550698479
A9a648d3b,9a648d3b,A,0.15160866698664568,0.3186640483470225
A0bc2ec54,0bc2ec54,A,0.5016261191109012,-0.18279708804344305
A41500f79,41500f79,A,0.5473875468874855,-1.2392501432301173
A4a568ff4,4a568ff4,A,0.06818527521303508,-0.6724331236715202
Aca80d7e8,ca80d7e8,A,0.5724741516593367,-1.465922719252294
Aadce0c54,adce0c54,A,0.2149307768839275,0.10420025486514636
Af15e21d5,f15e21d5,A,0.4534163249668879,2.541397831282703
Abef686a5,bef686a5,A,0.1670665598149632,-0.9021335446671952
Aae5948fa,ae5948fa,A,0.35018309785363516,8.550151496588041
Ad8f63a79,d8f63a79,A,0.18637786322175187,-15.016155243096552
A4fb5e0c6,4fb5e0c6,A,0.8073910516040766,0.6812807134750593
A57391f84,57391f84,A,0.07614526976167957,2.0228555104494217
A22669227,22669227,A,0.09628204038245218,-6.8439376199318795
A53a2d149,53a2d149,A,0.5643937469358126,-0.0348878219032656
A3235290a,3235290a,A,0.5388630263760161,-0.2873071260702937
Af1f6019b,f1f6019b,A,0.20876010178447146,-0.8563118861408099
A7ca77cec,7ca77cec,A,0.10082286188447874,-7.432604623953557
A06d1b2f6,06d1b2f6,A,0.4065866499452512,1.288046079300226
Ad62bc551,d62bc551,A,0.32840570305791994,1.1940463063340718
A7325ee0a,7325ee0a,A,0.5645914893135251,-9.809374778779071
A79551007,79551007,A,0.636762497305726,1.7221686545568642
A9f856b96,9f856b96,A,0.07509274522767515,-15.755184362277742
Aaaac7a89,aaac7a89,A,0.3249896361729868,2.870020900814067
Ac84f1e5a,c84f1e5a,A,0.25851351715021487,-0.09221541434693686
A3ed9037c,3ed9037c,A,0.927759595824219,0.5737109841375219
A987b3732,987b3732,A,0.5763465947070135,-1.1241501224087158
A44e4fc90,44e4fc90,A,0.4535603072141614,-0.3139294689993007
Af4715df8,f4715df8,A,0.20316859093781678,2.532302008274543
A090d1d31,090d1d31,A,0.06638874303625468,-0.6132704924353116
Afbd5ae18,fbd5ae18,A,0.6310379236024154,-1.7775736352112632
Ac2070f5f,c2070f5f,A,0.6483491690759395,0.6801880503800649
Af48d4b9d,f48d4b9d,A,0.2233969519537265,0.3905579127697199
