ID1,v1/mean,v1/sd,v1/median,v2/mean,v2/sd,v2/median,v3/mean,v3/sd,v3/median,v4/mean,v4/sd,v4/median
Ad9131ee9,3.1125790148739747,2.8590103499629174,4.496219570956245,1.9255705681406776,3.2104198454951955,3.2735731958043233,2.6466389233593417,-0.3827448320079898,3.23136400967979,0.6054597544683322,0.8826339869579423,4.6475783586876975
A9c5988ea,2.029969554899112,2.9046599847911105,2.0768743326264003,0.7086150134085164,2.274383435115637,4.128064159602959,1.449929342650964,2.0084849600268733,2.8368898806090193,0.7099979872319591,3.0279640183622547,-0.08975692974978333
A28a5479d,-0.4154828058208617,2.4215374785695065,2.470875992421581,2.375657560781688,-0.8198963992249078,1.223428544259509,3.4442134209632145,1.6306707623859769,2.100660089472468,2.2073755265294195,-0.309310796240966,1.811919760867637
Aaf5537cc,1.2494558002463694,2.238965265184238,3.707531216396364,3.9973405018016726,0.45550745657222347,4.317042759807608,1.5440155982066668,0.789178518392688,4.078372127673092,3.1769691488016334,1.9080440650417994,4.892450078567297
A370958bd,-0.9843506416846051,0.9719119483896788,3.725108873130547,2.1888160317111343,-0.1838447877745022,2.139569908580313,4.323477545986121,-0.8040462902746217,5.3773354034634,-0.8549584634538971,2.240860835719471,-1.8384198812223032
Aea997e13,1.415000794880791,1.3449534652448434,2.3499108524786467,2.7650628106937756,4.16362932800539,-0.008735458083640069,-3.01513913992632,4.247286734021401,6.3557170901541635,-2.1605508857820968,0.7973786075890668,7.881518534803154
A3563646f,-0.1494044284531324,3.2621905459033167,4.48908179834048,5.072418475307832,2.4386930032716485,3.8485725583251043,0.03879985707283129,1.9231197210775222,2.5215445936099816,0.36123009338229217,0.5525955350159049,3.1372579699080596
A9b3cfdba,0.27024078558098774,1.5716574933008838,3.251049338539162,2.8907927058208913,0.422173899298699,5.006968724891815,-0.21795617043822535,0.5453192445615258,3.211171030483396,-4.325381445179134,0.21074879061189877,5.5099803839996975
A32b6737a,0.7136002642201171,3.3888014208771002,5.658012318668709,2.5177269472175565,3.1482373492437756,3.1596423119907744,-0.7836331270694714,1.3902235727133694,2.4717444532161754,-1.8691174856308463,-0.38122560034580566,0.7300234432653494
A30e96748,0.46689300134227174,2.4731287124620094,2.6431359918589195,3.968845619498076,1.7582706827245531,3.9956009181711725,2.213267832566548,2.3420794673603824,1.5503961678505378,1.0001285193794767,1.7113383642754605,1.9810290611308456
