ID1,ID_1,ID_2,v1,v2
A2b6115fd,2b6115fd,A,0.36081901798024774,0.27754536492437676
Ac51c9cf1,c51c9cf1,A,0.2733461749739945,2.6433278099170967
A7534d3a0,7534d3a0,A,1.1730118855944724,0.11923021336546132
A73fc5642,73fc5642,A,0.8790059228938939,0.7054764508120568
Ae020e4bd,e020e4bd,A,0.026811010407795037,0.2974366995088273
Ac0d3b0fe,c0d3b0fe,A,1.1794791211885336,3.155365491862813
A2edfed41,2edfed41,A,0.3556775115430355,0.17386573338012234
Ad38a4bbe,d38a4bbe,A,0.4302063719369471,0.1303270531493521
A5ee0f97f,5ee0f97f,A,0.6428428590297699,0.023069237439423018
Ad791c03d,d791c03d,A,0.18325398470990892,0.3114057027819897
A716ec591,716ec591,A,0.9435283411945977,0.6494860331923721
Af88d3ab5,f88d3ab5,A,0.6206301893107593,0.8030154963043802
A429b65a6,429b65a6,A,1.4360124840492252,0.880166260135259
A3638155a,3638155a,A,0.13808079630632838,0.02551686555741769
A9ce4930a,9ce4930a,A,1.9905564858669285,1.9814517710054507
Af0968cbc,f0968cbc,A,0.8699379919389697,1.9417890088977308
Ae413c9a9,e413c9a9,A,0.1082112699609093,0.831748871142225
A5dc40807,5dc40807,A,0.7873082048770906,0.582695711998106
Adec8db56,dec8db56,A,2.743441285439468,2.478054941421459
A25df779b,25df779b,A,0.26268940418958664,0.7497222816871337
A99248c71,99248c71,A,1.118656660050812,0.21925809266776633
Add5aa1c7,dd5aa1c7,A,0.5645110066980124,0.34012971105241263
Ad0f3116e,d0f3116e,A,2.5109935792765383,0.4752781663147837
Ad54fca43,d54fca43,A,0.05378158628678737,0.8456678795807819
A6e968b78,6e968b78,A,0.5824632975272834,2.825955170009756
Aff6e10b8,ff6e10b8,A,0.24309753784004662,0.01717597876748724
A87a5811d,87a5811d,A,1.0414513274607184,0.03112684042990837
A891c4eb2,891c4eb2,A,0.9618306466889502,0.7783706643679367
Aaeac5e8c,aeac5e8c,A,2.0825964684269254,1.3494201163731558
A5de49801,5de49801,A,0.09185886243358254,0.3198842094920742
A8e19476a,8e19476a,A,1.9984052441174034,1.1498507432543883
A2a32393d,2a32393d,A,0.5386108518578112,1.2655463302566172
A3b2450b1,3b2450b1,A,0.16688519436866045,1.8645861167905444
A8882c792,8882c792,A,0.7730672265914204,0.28450326389895175
A50a09695,50a09695,A,0.7286206274684943,0.8411547869287029
Aaa54830c,aa54830c,A,1.793980792078407,0.10349012190531978
Af8cb44f9,f8cb44f9,A,0.14871383551508188,0.017898523573249385
A21b702c9,21b702c9,A,0.4253284176811576,0.5390514719281528
A9071dd07,9071dd07,A,0.3663671448867454,0.48645125215761126
Af9200e0d,f9200e0d,A,0.28992972103878856,0.8329745852619999
A3be8e904,3be8e904,A,0.8515114364725472,0.27158367904467334
Aa3cb7424,a3cb7424,A,0.12091100144095161,1.5539680527775803
A2d35e45c,2d35e45c,A,2.4848740155479674,0.6262465729995192
Ad0c4853c,d0c4853c,A,2.009613260542775,0.45135718867343
A71989001,71989001,A,1.207817050586355,0.8252843660676326
A28790818,28790818,A,3.607900756135242,0.11886918099904017
Afcec12c0,fcec12c0,A,0.7495768590636762,3.6889831806692275
A055f348b,055f348b,A,1.4695925550567999,0.0653838514270018
Af0e93509,f0e93509,A,0.5197885383520414,2.496870059849354
A260a1c9f,260a1c9f,A,0.3658346892334521,1.888154965570216
Af888da1c,f888da1c,A,1.0293425796133402,0.7951242827326824
Afd7b14fe,fd7b14fe,A,0.46727100340649486,0.9116197405629977
Aeb2d0efe,eb2d0efe,A,0.009731474798172712,0.6561927621823753
A983642cd,983642cd,A,2.0928319188437228,0.9773283319144682
Ad39c2592,d39c2592,A,0.027181053534150124,0.322969876903635
A236afd5d,236afd5d,A,0.4135156814008951,1.2389708152275085
A9a648d3b,9a648d3b,A,0.36992141930386424,3.349027661120973
A0bc2ec54,0bc2ec54,A,0.013984113290681943,0.384683284569058
A41500f79,41500f79,A,0.8163782199424626,0.13731508228391748
A4a568ff4,4a568ff4,A,0.6130387596786022,1.8647311661028723
Aca80d7e8,ca80d7e8,A,0.7068123593506338,2.081448302914124
Aadce0c54,adce0c54,A,0.5253928797319531,0.4229755968313043
Af15e21d5,f15e21d5,A,0.08478304560586615,0.1261001732127578
Abef686a5,bef686a5,A,0.24348913976826433,0.5097464026197902
Aae5948fa,ae5948fa,A,0.7982732168910028,0.08004883546286429
Ad8f63a79,d8f63a79,A,0.3922961028292775,1.0454584735665384
A4fb5e0c6,4fb5e0c6,A,0.3142150198109448,0.7053883192761162
A57391f84,57391f84,A,0.8710995405171367,0.8749448125971475
A22669227,22669227,A,0.1064481153152883,0.8281364717359627
